"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,9,111488061
2017,2,111490004
2017,6,111518077
2017,9,111518440
2017,6,111518743
2017,7,111518743
2017,9,111518816
2017,9,111519194
2017,6,111520632
2017,1,111526540
2017,3,111526540
2017,6,111526540
2017,6,111526682
2017,3,111530422
2017,9,111530492
2017,8,111531199
2017,6,111531199
2017,1,111531450
2017,3,111532179
2017,6,111533245
2017,9,111534261
2017,9,111535463
2017,9,111535828
2017,8,111536060
2017,6,111536099
2017,9,111536317
2017,9,111536455
2017,6,111536465
2017,3,111536580
2017,9,111536619
2017,9,111536779
2017,9,111538226
2017,9,111538271
2017,7,111538430
2017,6,111538430
2017,3,111538430
2017,6,111538432
2017,7,111538437
2017,6,111538952
2017,6,111540408
2017,4,111540583
2017,6,111540794
2017,6,111543326
2017,6,111543324
2017,9,111543409
2017,9,111543667
2017,9,111545300
2017,6,111545396
2017,3,111546589
2017,6,119247446
2017,9,119248506
2017,6,119248537
2017,6,111469014
2017,6,111469750
2017,6,111469753
2017,6,111470339
2017,8,111470464
2017,6,111471704
2017,6,111471936
2017,6,111471940
2017,6,111472066
2017,9,111474112
2017,6,111474200
2017,6,111474498
2017,6,111475207
2017,6,111475326
2017,6,111475748
2017,8,111476187
2017,6,111476187
2017,3,111476187
2017,6,111476717
