"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,12,115783860,20554377
2017,12,115784197,20554436
2017,12,115784442,20554485
2017,12,115784593,20554514
2017,11,115784692,20554540
2017,12,115784748,20554551
2017,12,115784838,20554572
2017,3,115787113,20554974
2017,4,115789111,20555307
2017,12,115789250,20555341
2017,12,115789461,20555397
2017,3,115789649,20555430
2017,12,115790262,20555547
2017,3,115790632,20555620
2017,12,115791305,20555712
2017,3,115791321,20555716
2017,12,115791978,20555819
2017,12,115792141,20555846
2017,12,115792273,20555862
2017,12,115792412,20555876
2017,12,115792669,20555914
2017,20,115793031,20555976
2017,2,115793155,20555999
2017,12,115793554,20556056
2017,12,115795594,20556452
2017,12,115799256,20557059
2017,12,115799262,20557062
2017,4,115799336,20557072
2017,12,115799432,20557101
2017,12,115799571,20557136
2017,12,115799669,20557159
2017,12,115799938,20557221
2017,12,115799998,20557242
2017,4,115800018,20557249
2017,12,115800027,20557253
2017,12,115800352,20557363
2017,12,115800479,20557399
2017,20,115800585,20557424
2017,12,115801411,20557595
2017,12,115801122,20557542
2017,12,115801248,20557561
2017,12,115801337,20557579
2017,20,115802341,20557796
2017,12,115802526,20557843
2017,12,115802522,20557842
2017,10,115802522,20557841
2017,12,115803209,20557999
2017,12,115803278,20558023
2017,12,115803639,20558135
2017,10,115804640,20558337
2017,12,115804809,20558372
2017,12,115805026,20558419
2017,12,115805094,20558449
2017,12,115805111,20558456
2017,12,115805265,20558505
2017,20,115805572,20558564
2017,20,115805935,20558629
2017,18,116817577,20782331
2017,12,116817630,20782341
2017,20,116818709,20782547
2017,20,116819542,20782707
2017,12,116820379,20782892
2017,12,116821178,20783003
2017,12,116821366,20783030
2017,20,116821653,20783091
2017,20,115779518,20553471
2017,19,115779904,20553555
2017,12,115780107,20553606
2017,18,115780157,20553615
2017,12,115780236,20553637
2017,12,115780261,20553642
2017,12,115781632,20553929
2017,3,115782021,20553996
2017,12,115782359,20554085
2017,12,115782530,20554115
2017,3,115782615,20554124
2017,12,115782795,20554165
2017,12,115782792,20554160
2017,2,115782937,20554200
2017,12,115783349,20554273
2017,18,115783367,20554277
2017,12,115784083,20554423
2017,9,115784160,20554432
2017,12,115784576,20554509
2017,12,115786196,20554805
2017,3,115786498,20554870
2017,20,115786970,20554946
2017,18,115787035,20554962
2017,12,115787176,20554992
2017,12,115787403,20555026
2017,12,115787563,20555052
2017,20,115787636,20555071
2017,12,115788263,20555193
2017,9,115825842,20562907
2017,3,115825842,20562906
2017,18,115826193,20563003
2017,12,115827152,20563190
2017,18,115827315,20563230
2017,12,115828048,20563381
2017,12,115829703,20563709
2017,12,115830180,20563827
2017,12,115831037,20564009
2017,3,115835387,20565094
2017,12,115835938,20565216
2017,12,115838593,20565763
2017,12,115838740,20565802
2017,12,115790048,20555504
2017,3,115791435,20555736
2017,12,115792359,20555870
2017,10,115795923,20556511
2017,12,115797056,20556727
2017,12,115799109,20557039
2017,12,115799149,20557046
2017,12,115799226,20557055
2017,12,115799521,20557126
2017,12,110350225,19399768
2017,3,110350781,19399919
2017,18,110351700,19400096
2017,12,110351752,19400116
2017,12,110351777,19400121
2017,18,115900746,20580532
2017,12,115901267,20580624
2017,12,115902018,20580795
2017,12,115902751,20580971
2017,12,115902822,20580990
2017,5,115903007,20581038
2017,12,115904252,20581350
2017,3,115904321,20581365
2017,12,115905506,20581645
2017,12,115905826,20581703
2017,12,115906012,20581745
2017,12,115906295,20581811
2017,3,115912147,20583193
