N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
17220,2017,26323366,90271698,22-MAR-17,N,33,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,728,7553445,17-AUG-18,22-MAR-17,17
17221,2017,26323540,90272418,25-MAR-17,N,16,F,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,728,7553445,17-AUG-18,25-MAR-17,12
17222,2017,26323804,90273661,02-APR-17,N,27,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7594474,17-AUG-18,02-APR-17,12
17223,2017,26323938,90274235,06-APR-17,N,18,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,728,7594474,17-AUG-18,06-APR-17,9
17224,2017,26324558,90276259,24-APR-17,N,35,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7594474,17-AUG-18,24-APR-17,22
17225,2017,26325570,90279365,18-APR-17,N,21,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,749,7552582,17-AUG-18,27-MAR-17,NA
17226,2017,26326661,90282825,12-APR-17,N,22,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,772,7596326,17-AUG-18,12-APR-17,0
17227,2017,26327162,90284519,18-FEB-17,N,50,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,770,7596331,17-AUG-18,18-FEB-17,9
17228,2017,26327279,90284946,27-FEB-17,C,29,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,770,7596331,17-AUG-18,27-FEB-17,8
17229,2017,26756595,91546681,23-MAY-17,N,46,F,On View,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,770,7667769,17-AUG-18,23-MAY-17,15
17230,2017,26756689,91547212,02-JUN-17,N,14,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,770,7667764,17-AUG-18,02-JUN-17,13
17231,2017,25778747,88715486,21-JAN-17,N,26,M,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,527,7510335,17-AUG-18,21-JAN-17,20
17232,2017,25778992,88716086,07-JAN-17,N,20,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,547,7510352,17-AUG-18,07-JAN-17,6
17233,2017,28734549,97574412,04-JUL-17,N,33,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,568,8005795,20-AUG-18,04-JUL-17,21
17234,2017,28731167,97565505,11-MAY-17,N,20,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,563,8005758,20-AUG-18,10-MAY-17,22
17235,2017,28731163,97565505,11-MAY-17,N,23,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,563,8005758,20-AUG-18,10-MAY-17,22
17236,2017,28731158,97565505,11-MAY-17,N,25,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,563,8005758,20-AUG-18,10-MAY-17,22
17237,2017,28731683,97566805,25-JUN-17,N,26,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,563,8005759,20-AUG-18,25-JUN-17,19
17238,2017,25869142,88959990,08-FEB-17,C,27,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,511,7526875,17-AUG-18,08-FEB-17,1
17239,2017,26403550,90494434,04-MAY-17,N,66,M,Taken INTO Custody,Theft From Building,Property,Larceny/Theft Offenses,A,White,26751,7609280,17-AUG-18,02-MAY-17,22
17240,2017,26403674,90494770,21-MAY-17,C,19,M,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,511,7609252,17-AUG-18,27-APR-17,11
17241,2017,26410376,90515232,15-JAN-17,N,39,M,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,744,7610639,17-AUG-18,15-JAN-17,0
