N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
4341,2017,26271228,90132222,26-MAY-17,N,29,M,Taken INTO Custody,Theft From Building,Property,Larceny/Theft Offenses,A,White,9735,7589216,17-AUG-18,26-MAY-17,10
4342,2017,26271673,90133471,06-MAY-17,N,29,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,9739,7589230,17-AUG-18,06-MAY-17,7
4343,2017,26271926,90134371,24-MAY-17,N,18,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7589230,17-AUG-18,24-MAY-17,14
4344,2017,26271922,90134371,24-MAY-17,N,18,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7589230,17-AUG-18,24-MAY-17,14
4345,2017,26272965,90136827,27-APR-17,N,23,F,On View,Embezzlement,Property,Embezzlement,A,Black or African American,9963,7556566,17-AUG-18,12-APR-17,0
4346,2017,26273202,90137354,22-MAY-17,N,25,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7578236,17-AUG-18,22-MAY-17,15
4347,2017,26191091,89884990,25-MAR-17,N,22,M,On View,Credit Card/Automated Teller Machine Fraud,Property,Fraud Offenses,A,White,9809,7525427,17-AUG-18,01-MAR-17,17
4348,2017,26191540,89886265,20-APR-17,N,30,M,Taken INTO Custody,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,9962,7523179,17-AUG-18,21-FEB-17,0
4349,2017,26191760,89886741,16-APR-17,N,18,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,Black or African American,9962,7575000,17-AUG-18,16-APR-17,3
4350,2017,26192476,89888454,23-MAR-17,N,50,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7553615,17-AUG-18,23-MAR-17,17
4351,2017,26047850,89497130,07-JAN-17,N,60,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7469566,17-AUG-18,07-JAN-17,13
4352,2017,26945471,92132939,16-SEP-17,N,17,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,10161,7659990,17-AUG-18,16-SEP-17,14
4353,2017,26945495,92133024,16-SEP-17,C,24,F,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7659990,17-AUG-18,16-SEP-17,20
4354,2017,26531464,90881872,04-JUN-17,C,27,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9964,7606190,17-AUG-18,04-JUN-17,14
4355,2017,26531602,90882177,04-JUL-17,C,15,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9964,7631827,17-AUG-18,04-JUL-17,14
4356,2017,26532408,90884847,18-JUL-17,N,21,F,Taken INTO Custody,Theft From Building,Property,Larceny/Theft Offenses,A,Black or African American,10043,7606195,17-AUG-18,21-MAY-17,19
4357,2017,26691806,91351746,30-JUN-17,N,21,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7631741,17-AUG-18,23-JUN-17,17
4358,2017,26691820,91351788,21-JUL-17,N,21,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7631742,17-AUG-18,21-JUL-17,17
4359,2017,26691810,91351788,21-JUL-17,N,17,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7631742,17-AUG-18,21-JUL-17,17
4360,2017,26691821,91351788,21-JUL-17,N,20,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7631742,17-AUG-18,21-JUL-17,17
4361,2017,26691917,91352035,23-AUG-17,N,45,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,9735,7659514,17-AUG-18,23-AUG-17,12
4362,2017,26060884,89531736,14-MAR-17,C,20,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,10161,7524031,17-AUG-18,14-MAR-17,22
4363,2017,26060955,89532036,16-MAR-17,C,45,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7524031,17-AUG-18,16-MAR-17,3
4364,2017,26060954,89532036,16-MAR-17,C,34,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7524031,17-AUG-18,16-MAR-17,3
4365,2017,26385601,90457907,04-JUN-17,M,37,F,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,10161,7589915,17-AUG-18,04-JUN-17,0
4366,2017,26190383,89883058,11-APR-17,C,43,M,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,9597,7574975,17-AUG-18,11-APR-17,4
4367,2017,26191723,89886626,12-APR-17,N,31,M,Taken INTO Custody,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,White,9962,7575000,17-AUG-18,12-APR-17,0
4368,2017,26191811,89886835,20-APR-17,N,19,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,9962,7575000,17-AUG-18,20-APR-17,12
4369,2017,26192715,89888945,05-APR-17,N,18,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7575017,17-AUG-18,05-APR-17,18
4370,2017,26192754,89889071,10-APR-17,N,38,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,9739,7575017,17-AUG-18,10-APR-17,9
4371,2017,26192938,89889718,26-APR-17,N,46,F,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,9739,7575017,17-AUG-18,26-APR-17,19
4372,2017,26204602,89927448,12-APR-17,N,16,F,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7554121,17-AUG-18,12-APR-17,18
4373,2017,26204603,89927448,12-APR-17,N,11,F,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7554121,17-AUG-18,12-APR-17,18
4374,2017,26206731,89932837,24-APR-17,N,32,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7554121,17-AUG-18,24-APR-17,0
4375,2017,26207121,89933411,25-APR-17,C,36,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7554121,17-AUG-18,25-APR-17,17
4376,2017,28912926,98064091,22-DEC-17,N,23,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7743940,20-AUG-18,22-DEC-17,16
4377,2017,28912928,98064091,22-DEC-17,N,33,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7743940,20-AUG-18,22-DEC-17,16
4378,2017,26533371,90887239,21-JUL-17,N,14,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7590966,17-AUG-18,12-JUN-17,14
