"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,97081281,100176720,18,29257200
2017,97081975,100177370,17,29257343
2017,97077832,100173201,14,29256377
2017,97077983,100173355,1,29256406
2017,97078570,100173928,18,29256567
2017,97078777,100174138,16,29256629
2017,97112258,100208043,1,29267985
2017,97113342,100209121,18,29268405
2017,97113446,100209203,3,29268444
2017,97113507,100209258,24,29268467
2017,97113710,100209459,3,29268518
2017,97113987,100209718,24,29268612
2017,97114170,100209902,18,29268657
2017,97114301,100210022,18,29268696
2017,97114301,100210021,18,29268694
2017,97114309,100210021,18,29268697
2017,97114309,100210022,18,29268698
2017,97116754,100212493,25,29269551
2017,97116754,100212494,3,29269550
2017,97116749,100212493,3,29269545
2017,97116749,100212494,25,29269547
2017,97116796,100212537,5,29269566
2017,97117492,100213166,24,29269785
2017,97118146,100213844,3,29270020
2017,97118560,100214275,18,29270131
2017,97119950,100215694,19,29270611
2017,97120607,100216364,16,29270975
2017,97121002,100216752,3,29271134
2017,97122165,100217934,21,29271622
2017,97122226,100217999,18,29271641
2017,97122661,100218445,3,29271862
2017,97123995,100219755,18,29272334
2017,97124255,100220001,18,29272428
2017,97115021,100210765,16,29268974
2017,97115024,100210765,16,29268976
2017,97115089,100210809,26,29268987
2017,97116663,100212407,18,29269503
2017,97117637,100213364,18,29269850
2017,97117769,100213484,18,29269889
2017,97117786,100213497,3,29269900
2017,97117916,100213632,1,29269955
2017,97118288,100213994,1,29270063
2017,97118288,100213997,1,29270065
2017,101756345,104917331,18,30698487
2017,97119904,100215640,18,29270585
2017,97119904,100215631,18,29270582
2017,97119904,100215636,18,29270583
2017,97119994,100215732,19,29270640
2017,101756329,104917332,18,30698481
2017,101756351,104917331,18,30698490
2017,97120320,100216071,18,29270815
2017,97120320,100216068,18,29270812
2017,97120330,100216071,18,29270821
2017,97120330,100216068,18,29270820
2017,101756336,104917332,18,30698485
2017,97120752,100216515,3,29271046
2017,101756345,104917332,18,30698489
2017,101756351,104917333,18,30698491
2017,101756336,104917331,18,30698482
2017,97121369,100217131,18,29271299
2017,101756336,104917333,18,30698483
2017,101756329,104917333,18,30698480
2017,101756351,104917332,18,30698492
2017,101756345,104917333,18,30698488
2017,101756329,104917331,16,30698479
2017,97122949,100218735,18,29271962
2017,97123205,100218980,3,29272072
2017,97123681,100219450,3,29272246
2017,97123763,100219525,18,29272274
2017,97123956,100219720,24,29272316
2017,101757606,104918593,18,30699016
2017,97080687,100176142,18,29257102
2017,97081126,100176597,18,29257175
2017,97082195,100177604,21,29257378
2017,97083748,100179211,5,29257687
2017,97109362,100205112,3,29266796
2017,97109495,100205241,1,29266845
2017,97110215,100205997,18,29267123
2017,97110215,100205993,18,29267121
2017,97110256,100206057,18,29267142
2017,97110256,100206061,18,29267143
2017,97110256,100206055,18,29267141
2017,97110256,100206051,17,29267144
2017,97111170,100206949,18,29267518
2017,97111153,100206949,18,29267509
2017,97111173,100206949,18,29267521
2017,97111161,100206949,18,29267513
2017,97112978,100208734,24,29268270
2017,97113218,100208942,25,29268353
2017,97113193,100208940,25,29268337
2017,97113218,100208940,12,29268354
2017,97113193,100208942,12,29268338
2017,97113580,100209315,3,29268482
2017,96563832,99647231,3,29095791
2017,96564024,99647416,3,29095840
2017,96564024,99647411,25,29095838
2017,96564012,99647411,3,29095833
2017,96564012,99647416,25,29095837
2017,96565360,99648797,18,29096196
2017,96565360,99648793,18,29096195
2017,96565792,99649271,24,29096308
2017,96565834,99649297,18,29096325
2017,96565851,99649306,14,29096332
2017,96565851,99649308,18,29096333
2017,96566241,99649712,1,29096428
2017,96592547,99676414,3,29104515
2017,96592791,99676666,18,29104613
2017,96592791,99676664,18,29104612
2017,96592925,99676773,18,29104669
2017,96592907,99676773,18,29104663
2017,96592925,99676775,18,29104670
2017,96592907,99676780,18,29104668
2017,96592905,99676780,18,29104661
2017,96592905,99676773,18,29104658
2017,96592925,99676776,18,29104672
2017,96592905,99676775,18,29104659
2017,96592907,99676775,18,29104665
2017,96592907,99676776,18,29104667
2017,96592925,99676780,18,29104675
2017,96592905,99676776,18,29104660
2017,96593905,99677766,24,29104978
2017,96594515,99678379,18,29105193
2017,96594515,99678382,18,29105196
2017,96594922,99678770,18,29105312
2017,96594922,99678764,18,29105309
2017,96595181,99679037,24,29105380
2017,96596959,99680759,18,29105908
2017,96597395,99681211,24,29105984
2017,96597395,99681207,24,29105985
2017,96597699,99681522,3,29106036
2017,96598208,99681966,16,29106178
2017,96598290,99682051,18,29106201
2017,96598284,99682051,18,29106198
2017,96598305,99682051,18,29106204
2017,96598602,99682348,17,29106325
2017,96598638,99682390,19,29106339
2017,96598646,99682385,19,29106341
2017,96598646,99682390,19,29106343
2017,96598638,99682385,19,29106336
2017,96598842,99682581,5,29106416
2017,96599163,99682901,18,29106494
2017,96599163,99682898,18,29106492
2017,96599223,99682947,18,29106528
2017,96599223,99682942,18,29106526
2017,96599223,99682950,18,29106529
2017,96600470,99684207,3,29106940
2017,97113620,100209364,24,29268496
2017,97113771,100209525,24,29268544
2017,97113771,100209523,24,29268543
2017,97113771,100209508,24,29268536
2017,97113771,100209516,24,29268539
2017,97113771,100209520,24,29268541
2017,97113961,100209723,18,29268601
2017,97114007,100209751,15,29268618
2017,97117486,100213200,1,29269782
