"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,27095147,92586100,1,21-OCT-17,3,"C",49,5,23,"M",1,2,"","","",23,0
2017,27095279,92586581,1,23-SEP-17,3,"N",16,5,28,"F",1,2,"","","",28,0
2017,27095352,92586921,1,30-SEP-17,3,"N",23,5,29,"F",1,2,"","","",29,0
2017,28421997,96691724,2,11-OCT-17,3,"C",27,5,19,"F",2,2,"","","",19,0
2017,28421995,96691724,1,11-OCT-17,3,"C",27,5,21,"M",2,2,"","","",21,0
2017,28422025,96691842,1,16-OCT-17,1,"C",35,5,23,"M",1,2,"","","",23,0
2017,28422030,96691842,3,16-OCT-17,3,"C",35,5,23,"M",2,2,"","","",23,0
2017,28422028,96691842,2,16-OCT-17,3,"C",35,5,35,"M",1,2,"","","",35,0
2017,28422056,96691888,1,21-OCT-17,1,"C",2,5,17,"F",2,2,"","H","",17,0
2017,28422058,96691888,2,21-OCT-17,1,"C",2,5,19,"M",1,2,"","","",19,0
2017,28422095,96692020,1,05-NOV-17,2,"C",35,5,39,"F",1,2,"","","",39,0
2017,28422114,96692069,1,12-NOV-17,3,"C",39,5,20,"M",2,2,"","","",20,0
2017,28422156,96692212,1,25-NOV-17,3,"C",2,5,50,"F",1,2,"","","",50,0
2017,28422177,96692263,1,29-NOV-17,1,"C",35,5,35,"F",1,2,"","","",35,0
2017,28422178,96692263,2,29-NOV-17,1,"C",35,5,28,"F",1,2,"","","",28,0
2017,28422217,96692426,1,06-DEC-17,2,"C",16,5,18,"F",2,2,"","","",18,0
2017,28422232,96692457,1,10-DEC-17,3,"C",2,5,27,"F",1,2,"","","",27,0
2017,28422263,96692585,1,19-DEC-17,2,"C",16,5,33,"F",2,2,"","","",33,0
2017,28644317,97341928,2,04-JUL-17,3,"C",21,5,20,"M",1,2,"","","",20,0
2017,28647147,97349720,1,11-OCT-17,1,"N",44,5,15,"M",2,2,"","R","",15,0
2017,28647184,97349777,1,01-NOV-17,1,"N",16,5,16,"M",1,2,"","R","",16,0
2017,28647061,97349571,5,02-JUN-17,1,"N",23,5,24,"F",2,2,"","","",24,0
2017,28647053,97349571,3,02-JUN-17,1,"N",23,5,20,"F",2,2,"","","",20,0
2017,28647056,97349571,4,02-JUN-17,1,"N",23,5,24,"F",2,2,"","","",24,0
2017,28647132,97349664,1,25-AUG-17,2,"N",16,5,25,"M",1,2,"","","",25,0
2017,28232932,96151919,1,28-MAR-17,1,"N",51,5,45,"F",4,2,"","","",45,0
2017,28232992,96152001,2,22-OCT-17,1,"N",23,5,31,"F",2,2,"","","",31,0
2017,28238391,96166020,1,12-JAN-18,3,"N",16,5,60,"F",1,3,"","","",60,0
2017,28241784,96174565,1,22-OCT-17,1,"N",16,5,21,"M",2,2,"","","",21,0
2017,28241786,96174565,3,22-OCT-17,2,"N",16,5,18,"M",2,2,"","","",18,0
2017,28241785,96174565,2,22-OCT-17,1,"N",16,5,21,"M",2,2,"","","",21,0
2017,28242635,96176653,1,29-NOV-17,1,"M",40,5,20,"M",2,2,"","","",20,0
2017,28243574,96178755,1,04-DEC-17,2,"N",16,5,36,"M",2,2,"","","",36,0
2017,28244099,96179592,1,08-DEC-17,2,"C",45,5,62,"M",1,2,"","","",62,0
2017,28244128,96179618,1,10-DEC-17,1,"M",51,5,31,"F",2,2,"","","",31,0
2017,28244510,96180486,1,14-DEC-17,2,"C",51,5,44,"M",1,2,"","","",44,0
2017,28244910,96181438,1,19-DEC-17,2,"N",16,5,31,"M",1,3,"","","",31,0
2017,28245011,96181720,1,19-DEC-17,1,"C",45,5,31,"M",1,2,"","","",31,0
2017,28245124,96182102,1,10-JAN-18,2,"C",16,5,30,"M",2,3,"","","",30,0
2017,28245292,96182617,1,21-DEC-17,1,"C",51,5,35,"M",1,2,"","","",35,0
2017,28245966,96184411,1,25-DEC-17,2,"C",51,5,40,"M",2,2,"","","",40,0
2017,28246229,96185120,1,10-JAN-18,2,"C",49,5,25,"M",1,2,"","","",25,0
2017,28246241,96185177,1,26-DEC-17,1,"M",51,5,37,"M",2,3,"","","",37,0
2017,28246845,96186638,1,29-DEC-17,1,"N",35,5,32,"M",2,2,"","","",32,0
2017,28246957,96186898,1,29-DEC-17,2,"M",51,5,31,"M",2,2,"","","",31,0
2017,28783895,97704380,1,10-MAY-18,2,"M",23,5,75,"M",1,2,"","","",75,0
2017,28231151,96147396,1,22-JAN-18,3,"N",35,5,39,"M",1,2,"","","",39,0
2017,28231406,96147994,2,20-JUN-17,1,"C",16,5,16,"M",1,2,"","R","",16,0
2017,28231411,96148056,2,25-JUN-17,1,"C",35,5,24,"M",1,2,"","","",24,0
2017,28231413,96148056,3,25-JUN-17,1,"C",16,5,31,"M",1,2,"","","",31,0
2017,28231500,96148208,1,15-JUL-17,1,"C",51,5,40,"F",1,2,"","","",40,0
2017,28231756,96148750,1,20-DEC-17,1,"M",49,5,15,"M",1,2,"","R","",15,0
2017,28425413,96701953,1,16-NOV-17,2,"N",16,5,17,"M",1,2,"","H","",17,0
2017,28788201,97714561,1,04-JUN-17,2,"C",62,5,52,"M",1,2,"","","",52,0
2017,28647048,97349530,2,24-NOV-17,1,"C",37,5,32,"M",1,2,"","","",32,0
2017,28647202,97349816,1,07-DEC-17,1,"N",16,5,20,"M",1,1,"","","",20,0
2017,28650861,97359274,1,17-APR-18,3,"C",16,5,36,"M",2,2,"","","",36,0
2017,28651218,97360165,1,19-OCT-17,3,"M",5,5,34,"M",1,2,"","","",34,0
2017,28795312,97732726,1,08-MAY-18,3,"C",45,5,27,"M",2,2,"","","",27,0
2017,28431033,96718359,1,06-FEB-18,3,"N",16,5,57,"F",1,2,"","","",57,0
2017,28431057,96718443,1,02-FEB-18,3,"N",49,5,34,"F",1,2,"","","",34,0
2017,28431121,96718636,1,31-JAN-18,1,"C",16,5,54,"F",2,2,"","","",54,0
2017,28431417,96719696,1,21-SEP-17,3,"N",32,5,41,"M",2,2,"","","",41,0
2017,28431447,96719809,1,25-JAN-18,3,"N",16,5,57,"M",2,2,"","","",57,0
