"DATA_YEAR.x" "INCIDENT_ID" "PROP_LOSS_NAME" "PROP_LOSS_DESC" "PROPERTY_VALUE" "PROP_DESC_NAME"
"159" 2017 90415178 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"160" 2017 90415199 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 350 "Radio/ TV/ VCR"
"161" 2017 90115139 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1 "Vehicle Parts"
"162" 2017 90414956 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1000 "Money"
"163" 2017 90414956 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 31 "Purse/ Wallet"
"164" 2017 90414956 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"165" 2017 90414973 "Counterfeited/Forged" "Counterfeited/Forged" 1 "Other"
"166" 2017 90415029 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"167" 2017 90415029 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 580 "Purse/ Wallet"
"168" 2017 90415075 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 300 "Automobile"
"169" 2017 90415075 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 300 "Vehicle Parts"
"170" 2017 90415254 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"171" 2017 88430740 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 450 "Other"
"172" 2017 88430795 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"173" 2017 88430847 "Counterfeited/Forged" "Counterfeited/Forged" 1526 "Negotiable Instruments"
"174" 2017 88430708 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 2500 "Automobile"
"175" 2017 88430739 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"176" 2017 88430769 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"177" 2017 88430835 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 4500 "Jewelry/ Precious Metals"
"178" 2017 88430880 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 200 "Vehicle Parts"
"179" 2017 88430894 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"180" 2017 90114769 "Counterfeited/Forged" "Counterfeited/Forged" 1390 "Negotiable Instruments"
"181" 2017 90114815 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Non Negotiable Instruments"
"182" 2017 90114815 "Counterfeited/Forged" "Counterfeited/Forged" 700 "Negotiable Instruments"
"183" 2017 90114865 "None" "None" NA NA
"184" 2017 90114865 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"185" 2017 90114883 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 475 "Other"
"186" 2017 90114908 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"187" 2017 90114908 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"188" 2017 90114940 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"189" 2017 90115128 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 125 "Vehicle Parts"
"190" 2017 88884835 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 400 "Firearms"
"191" 2017 88884857 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"192" 2017 88884857 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 336 "Purse/ Wallet"
"193" 2017 88884916 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"194" 2017 88884916 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 400 "Purse/ Wallet"
"195" 2017 88884916 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
