"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,97727246,3.81,1,8164753
2017,5,101861202,1.613,1,8780533
2017,5,101877288,0.25,1,8783020
2017,12,97715849,4.1,1,8163073
2017,16,97727616,5.52,1,8164797
2017,1,97541189,0.02,1,8135758
2017,12,97583642,1.4,1,8142254
2017,2,97583642,0.2,1,8142255
2017,12,97588578,0.1,3,8143208
2017,5,97600501,0.077,3,8145455
2017,5,97604512,0.777,3,8146091
2017,1,97616267,0.12,1,8148071
2017,5,97622748,0.67,3,8149645
2017,12,101808167,0.6,1,8771192
2017,10,97547204,1.3,1,8136521
2017,5,97647072,0.14,3,8154138
2017,5,97649230,0.555,3,8154388
2017,5,101844934,0.033,3,8777692
2017,12,101845086,0.001,1,8777735
2017,11,97636936,0.12,1,8152433
2017,18,97636936,,,8152435
2017,12,97636936,68.53,9,8152431
2017,12,97723806,2.1,1,8164270
2017,16,105267638,1.3,1,9388951
2017,5,97522489,0.195,3,8133219
2017,5,105257328,0.102,3,9391395
2017,5,106857477,0.034,3,9742613
2017,5,106859151,2.111,3,9742886
2017,16,106857795,19.36,1,9742672
2017,5,106865837,0.085,3,9734880
2017,17,97551353,,,8137106
2017,5,97564796,376.75,1,8139337
2017,5,97497791,68.5,3,8129844
2017,5,97506518,17.7,1,8131168
2017,16,97509912,2.7,1,8131627
2017,5,97512862,11.6,1,8132028
2017,5,97653393,7.316,1,8154931
2017,12,97656945,0.15,1,8155450
2017,5,97501604,4.2,1,8130386
2017,5,97504032,1.25,3,8130855
2017,5,97505314,0.062,3,8131022
2017,12,97656385,0.9,1,8155351
2017,12,97565140,1.1,1,8139401
2017,5,97531198,0.35,1,8134399
2017,12,97533754,5,1,8134847
2017,5,97533754,0.57,1,8134846
2017,2,97660969,0.28,1,8155926
2017,5,97690645,0.104,3,8159188
2017,16,97694499,0.1,3,8159875
2017,5,97482292,16.6,1,8127336
2017,17,97517185,0.45,1,8132555
2017,5,97517185,0.088,3,8132556
2017,5,97545266,22.59,1,8136187
2017,5,97550988,1.075,3,8137045
2017,15,97550988,1.72,1,8137044
2017,16,97550988,2.67,1,8137046
2017,17,97554142,,,8137740
