"","title","director"
"350","The Molly Maguires",NA
"351","An Ideal Husband","""Oliver Parker"""
"352","The Color of Money","""Martin Scorsese"""
"353","The Longest Day","[""Andrew Marton"",""Bernhard Wicki"",""Darryl F. Zanuck"",""Gerd Oswald"",""Ken Annakin""]"
"354","Recess: School's Out","""Chuck Sheetz"""
"355","Commando","""Mark L. Lester"""
"356","Friday After Next","""Marcus Raboy"""
"357","The Last Dragon",NA
"358","The Lawnmower Man","""Brett Leonard"""
"359","Dogma","""Kevin Smith"""
"360","Swimfan","""John Polson"""
"361","Pete's Dragon","""David Lowery"""
"362","The Dead Zone","""David Cronenberg"""
"363","Valentine","""Jamie Blanks"""
"364","On the Line","""Eric Bross"""
"365","The Limey","""Steven Soderbergh"""
"366","Gun Shy","""Eric Blakeney"""
"367","Nicholas Nickleby","""Douglas McGrath"""
"368","Cecil B. Demented","""John Waters"""
"369","Owning Mahowny","""Richard Kwietniowski"""
"370","Richard III",NA
"371","Igby Goes Down","""Burr Steers"""
"372","PCU","""Hart Bochner"""
"373","Velvet Goldmine","""Todd Haynes"""
"374","Two Evil Eyes","[""Dario Argento"",""George A. Romero""]"
"375","Barbarella","""Roger Vadim"""
"376","Club Dread","""Jay Chandrasekhar"""
"377","28 Days Later","""Danny Boyle"""
"378","Escape from Alcatraz","""Don Siegel"""
"379","Half Baked","""Tamra Davis"""
"380","American Psycho","""Mary Harron"""
"381","Shadow of the Vampire","""E. Elias Merhige"""
"382","Woman on Top","""Fina Torres"""
"383","Swimming Pool","""Fran\u00e7ois Ozon"""
"384","The Hole","""Joe Dante"""
"385","The Omega Code","""Robert Marcarelli"""
"386","The Piano","""Jane Campion"""
"387","Logan's Run","""Michael Anderson"""
"388","Action Jackson","""Craig R. Baxley"""
"389","In Too Deep","""Michael Rymer"""
"390","The Last Temptation of Christ","""Martin Scorsese"""
"391","Rabbit-Proof Fence",NA
"392","The Other Side of Heaven","""Mitch Davis"""
"393","Gerry","""Gus Van Sant"""
"394","The Four Seasons","""Alan Alda"""
"395","Aberdeen","""Hans Petter Moland"""
"396","The Return of the Living Dead","""Dan O'Bannon"""
"397","Ordinary People","""Robert Redford"""
"398","The Brothers","""Gary Hardwick"""
"399","A Mighty Wind","""Christopher Guest"""
"400","Halloween 5: The Revenge of Michael Myers","""Dominique Othenin-Girard"""
"401","200 Cigarettes","""Risa Bramon Garcia"""
"402","Morvern Callar","""Lynne Ramsay"""
"403","11:14","""Greg Marcks"""
"404","Bend It Like Beckham","""Gurinder Chadha"""
"405","Sunshine State","""John Sayles"""
"406","The Sting","""George Roy Hill"""
"407","The Chorus","""Christophe Barratier"""
"408","Wonderland","""James Cox"""
"409","Irreversible","""Gaspar No\u00e9"""
"410","A Nightmare on Elm Street 3: Dream Warriors","""Chuck Russell"""
"411","20,000 Leagues Under the Sea",NA
"412","Nighthawks","[""Bruce Malmuth"",""Gary Nelson""]"
"413","April Fool's Day",NA
"414","A Farewell to Arms",NA
"415","Robin and Marian",NA
"416","Party Monster","[""Fenton Bailey"",""Randy Barbato""]"
"417","Bottle Rocket","""Wes Anderson"""
"418","Fascination","""Klaus Menzel"""
"419","Area 51","""Oren Peli"""
"420","Dear Frankie","""Shona Auerbach"""
"421","Treading Water","""Analeine Cal y Mayor"""
"422","Four Weddings and a Funeral","""Mike Newell"""
"423","25th Hour","""Spike Lee"""
"424","Bound","[""Andy Wachowski"",""Lana Wachowski""]"
"425","Character",NA
"426","Spun","""Jonas \u00c5kerlund"""
"427","Mean Machine","""Barry Skolnick"""
"428","Whale Rider","""Niki Caro"""
"429","Porky's","""Bob Clark"""
"430","The Wash","""DJ Pooh"""
"431","Talk Radio","""Oliver Stone"""
"432","The Big Tease","""Kevin Allen"""
"433","The Velocity of Gary",NA
"434","Hell's Angels",NA
"435","Network","""Sidney Lumet"""
"436","Midnight Cowboy","""John Schlesinger"""
"437","The Full Monty","""Peter Cattaneo"""
"438","Chain of Command",NA
"439","Frenzy",NA
"440","Human Traffic","""Justin Kerrigan"""
"441","Rosemary's Baby","""Roman Polanski"""
"442","Goldfinger","""Guy Hamilton"""
"443","Trainspotting","""Danny Boyle"""
"444","Bowling for Columbine","""Michael Moore"""
"445","Coming Home",NA
"446","Spaced Invaders",NA
"447","Trippin'",NA
"448","Woman Thou Art Loosed",NA
"449","Whipped",NA
"450","Basquiat",NA
"451","Happiness",NA
"452","Riding Giants",NA
"453","Singin' in the Rain",NA
"454","Garden State",NA
"455","Saving Face",NA
"456","The Hustler",NA
"457","Thirteen","""Catherine Hardwicke"""
"458","Ghost Dog: The Way of the Samurai","""Jim Jarmusch"""
"459","Dinner Rush","""Bob Giraldi"""
"460","It's All Gone Pete Tong","""Michael Dowse"""
"461","Bananas","""Woody Allen"""
"462","Highway","""Imtiaz Ali"""
"463","Northfork","""Michael Polish"""
"464","A Streetcar Named Desire","""Elia Kazan"""
"465","Buffalo '66","""Vincent Gallo"""
"466","Repo Man","""Alex Cox"""
"467","The Ballad of Jack and Rose","""Rebecca Miller"""
"468","Modern Times",NA
"469","Lock, Stock and Two Smoking Barrels","""Guy Ritchie"""
"470","Trees Lounge","""Steve Buscemi"""
"471","The Hebrew Hammer","""Jonathan Kesselman"""
"472","Rebecca",NA
"473","How Green Was My Valley",NA
"474","Saw","""James Wan"""
"475","Monsoon Wedding","""Mira Nair"""
"476","Reservoir Dogs","""Quentin Tarantino"""
"477","Grand Theft Parsons","""David Caffrey"""
"478","Two Girls and a Guy","""James Toback"""
"479","Walking and Talking","""Nicole Holofcener"""
"480","Slam",NA
"481","Orgazmo","""Trey Parker"""
"482","Charly","""Adam Thomas Anderegg"""
"483","Time Changer","""Rich Christiano"""
"484","Interview with the Assassin","""Neil Burger"""
"485","Hoop Dreams","""Steve James"""
"486","Love Letters",NA
"487","Mean Creek","""Jacob Aaron Estes"""
"488","Seven Samurai",NA
"489","The Slaughter Rule","[""Alex Smith"",""Andrew J. Smith""]"
"490","The Toxic Avenger","[""Lloyd Kaufman"",""Michael Herz""]"
"491","Napoleon Dynamite","""Jared Hess"""
"492","Cries and Whispers",NA
"493","Intolerance","""D.W. Griffith"""
"494","Trekkies",NA
"495","Tupac: Resurrection",NA
"496","Chasing Amy","""Kevin Smith"""
"497","A Fistful of Dollars","""Sergio Leone"""
"498","Sweet Sweetback's Baadasssss Song",NA
"499","Roger & Me",NA
"500","Hollywood Shuffle","""Robert Townsend"""
"501","The Mighty",NA
"502","The Lost Skeleton of Cadavra","""Larry Blamire"""
"503","Super Size Me","""Morgan Spurlock"""
"504","The Brothers McMullen","""Edward Burns"""
"505","Clerks","""Kevin Smith"""
"506","Manito","""Eric Eason"""
"507","Primer","""Shane Carruth"""
