ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
86,88,Великолукский мясокомбинат,Великолукский мясокомбинат,vlmkNAretail.ru,Подвальный В.А.,Псков. Обл.,АПК,17250,15737,807,NA1105,0,0,381,348,213,98
87,105,Архангельскгеологодобыча,Архангельскгеологодобыча,agddiamond.ru,АО Открытие холдинг,Арх. Обл.,Добыча полезных ископаемых,17116,11966,2893,NA244,321,1,1513,1174,344,915
88,95,Севзапмедторг,"Аптека ""Озерки""",6030000.ru,Иностранные компании (Кипр),СПб,Торговля фармацевтической продукцией,16583,13161,487,294,120,82,1123,553,0,13
89,111,ГОЗ,Обуховский завод,goz.ru,ВКО АлмазNAАнтей,СПб,Металлургия,15946,11385,178,154,0,0,3040,2368,665,1264
90,81,БТК Групп,"ФОСП, BTC",fosp.ru,Боллоев Т.К.,СПб,Легкая промышленность,15869,17649,569,1606,236,368,1339,2401,77,107
91,89,ОДКNAКлимов,Климов,klimov.ru,АО ОДК,СПб,Энергомашиностроение,15213,15212,484,484,191,117,1921,1633,793,704
92,98,Национальная спутниковая компания,Триколор,tricolor.tv,Граждане России,СПб,Телекоммуникации,15188,12704,2350,3452,606,875,474,297,1247,504
93,106,Боксит Тимана,Русал,rusal.ru,Русал,Коми,Металлургия,14744,11885,779,963,154,727,445,295,595,606
94,93,Сегежский ЦБК,Segezha,scbk.ru,АФК Система,Карелия,Деревообрабатывающая промышленность,14251,13482,1946,2617,487,0,864,909,4284,585
95,90,Воздушные ворота Северной столицы,Аэропорт Пулково,pulkovoairport.ru,Иностранные компании (Кипр),СПб,Авиатранспорт,14240,14028,2691,353,0,0,3289,3463,177,2503
96,110,Бауцентр Рус,Бауцентр,baucenter.ru,"Гаврилов М.Г., Давыдова И.Ю.",Калин. Обл.,DIY ритейл,14199,11410,464,115,95,2,969,879,671,236
97,116,Нефтетранспорт,NA,NA,"TRANSGROUP INVEST AS, Эстония",СПб,ЖДNAтранспорт,14099,10770,1740,762,442,172,138,116,20,835
98,125,Сименс технологии газовых турбин,Siemens,siemens.com,Корпорация Siemens,Лен. Обл.,Энергомашиностроение,14018,10123,1938,1585,715,554,858,791,424,1606
99,92,КNAРаута Рус,КNAРаута,kNArauta.rustroymarket,"КNAРАУТА, Финляндия",СПб,DIY ритейл,13797,13561,NA817,NA492,0,0,1,1,0,0
100,97,Невская Косметика,Невская Косметика,nevcos.ru,"Плесовских В.А., Кононов В.Н. и др.",СПб,Химическая промышленность,13549,12738,3084,3007,680,716,815,746,392,438
101,69,ГСИ ВНЗМNAК,ГлобалстройNAИнжиниринг,globse.com,ГлобалстройNAИнжиниринг,Коми,Промышленное строительство,13537,21745,4152,1719,32,31,428,463,88,24
102,122,ЭККОNAРос,Ecco,eccoNAshoes.ru,"Севагин А.Г., Штопель И.Э.",Нов. Обл.,Fashion ритейл,13031,10318,1916,NA46,0,0,2227,2013,51,101
103,94,Супервэйв групп,SuperWave,superwave.ru,Силкин В.В. и др.,Лен. Обл.,Торговля электрооборудованием,12993,13169,28,73,21,20,165,106,25,123
104,119,Торговый Дом БМЗ,Белорусский металлургический завод,belsteel.com,"БМЗ, Белоруссия, Колоско С.Т.",СПб,Торговля металлами,12846,10346,471,384,120,102,55,39,92,10
105,180,Петербургский тракторный завод,Кировец,kirovetsNAptz.com,Кировский Завод,СПб,Машиностроение,12398,7002,2564,862,186,0,1578,1001,1171,211
106,127,Петербургская продовольственная корпорация,HEINZ,heinzketchup.ru,"HEINZ INVESTMENTS, Кипр",СПб,АПК,12336,10117,NA48,NA20,57,117,755,657,61,11
107,102,Мэлон Фэшн Груп,"befree, ZARINA, LOVE REPUBLIC",melonfashion.ru,Иностранные компании (Кипр),СПб,Fashion ритейл,12291,12285,171,1169,26,138,1196,1121,736,252
108,65,Балтстрой,Балтстрой,zaobs.com,Граждане России,СПб,Промышленное строительство,12112,23379,NA156,177,0,53,357,244,3,27
109,157,Кнауф Петроборд,Knauf,knaufpetroboard.ru,Корпорация KNAUF (Германия),Лен. Обл.,Производство строительных материалов,12107,7999,1631,974,439,402,1228,1241,69,1461
110,132,Горэлектротранс СПб,NA,electrotrans.spb.ru,РФ (субъект РФ),СПб,Городской транспорт,12082,9707,350,NA228,114,0,5909,4961,1089,715
111,131,ГК Аладушкин Групп,Аладушкин,mill.ru,Иностранная компания (Великобритания),СПб,АПК,11925,9788,807,1169,343,240,413,367,24,21
112,107,Коми энергосбытовая компания,NA,komiesc.ru,"Т Плюс, Паршина Н.Л., Осипова Е.В. и др.",Коми,Энергоснабжение,11861,11795,NA271,14,20,55,318,216,14,4
113,117,АгроNAАльянс,АгроNAАльянс,agroNAal.ru,Иностранные компании (Кипр),СПб,АПК,11718,10491,312,318,39,2,166,149,21,128
114,121,Пассажиравтотранс СПБ,NA,avokzal.ru,РФ (субъект РФ),СПб,Городской транспорт,11684,10329,240,NA86,0,0,7072,4254,1159,625
115,130,ФК ЗЕНИТ,ФК Зенит,fcNAzenit.ru,Газпромбанк,СПб,Индустрия развлечений,11661,9970,5607,229,4,0,10348,6873,2747,1364
116,137,Приморский торговый порт,NA,ptport.ru,ПАО НМТП,Лен. Обл.,Морской транспорт,11657,9259,8090,6364,1626,1043,476,441,852,76
117,142,Биокад,Биокад,biocad.ru,Иностранные компании (Кипр),СПб,Химическая промышленность,11477,9049,5051,4395,770,652,1886,1168,641,732
118,148,Эра Эйч Пи Си Дистрибьюшн,Улыбка Радуги,rNAulybka.ru,Граждане России,СПб,FMCG ритейл,11400,8729,93,73,28,19,110,99,0,26
119,164,СПб Красный Октябрь,NA,koavia.com,NA,СПб,Машиностроение,11366,7773,2155,2201,584,445,NA,NA,NA,NA
120,120,Янтарьэнергосбыт,NA,yantarenergosbyt.ru,Россети,Калин. Обл.,Энергоснабжение,11276,10336,NA28,3,0,0,169,166,0,4
121,124,Боровичский комбинат огнеупоров,БРП,borovichiNAnov.ru,"РФ (субъект РФ), Граждане России",Нов. Обл.,Производство строительных материалов,11218,10214,1117,943,168,160,2401,2264,500,537
122,140,Пеноплэкс СПб,Пеноплекс,penoplex.ru,"Катков А.Л., МедиаNAинвест и другие",СПб,Производство строительных материалов,11037,9105,70,NA2,0,0,785,753,194,592
123,101,Санторин,БалтБет,baltbet.ru,Викторова Л.Н.,СПб,Индустрия развлечений,10916,"12,329","1,174",NA898,1,4,395,423,34,10
124,118,Теле2NAСанкт-Петербург,Теле2,t2NArus-holding.ru,"Tele2 Russia, Швеция, ПАО Ростелеком",СПб,Телекоммуникации,10914,10414,774,1178,120,342,213,204,3424,1832
125,135,Концепт Груп,"Concept club, Acoola и др.",conceptgroup.ru,Иностранные компании (Кипр),СПб,Легкая промышленность,10889,9436,NA1007,133,0,47,1190,1107,60,155
126,100,Дочерние общества ГК Любавушка,Полушка,lubavushka.ru,Иностранная компания (Виргинские острова),Лен. Обл.,FMCG ритейл,10881,12405,101,61,29,15,536,607,82,186
